White,Black,WhiteElo,BlackElo,Result,TimeControl,ECO,PlyCount,Date
konozrout,amatovic,2056,1771,1-0,300+0,A36,45,2025.05.30
Qidel,elrukapillan,1532,1444,0-1,180+0,B32,38,2025.05.30
Aromas,hastrman,2031,2043,1-0,900+0,B03,55,2025.05.30
Moondance,defensamaya,1745,1518,1-0,180+0,B07,63,2025.05.30
mindman,fatalfred,1314,1397,0-1,720+0,C41,64,2025.05.30
Oak,ChequeMade,1565,1671,1-0,180+0,C36,89,2025.05.30
Johnas,msheaf,1601,1826,0-1,180+0,D04,68,2025.05.30
venazvz,CeruleanJS,1754,1962,0-1,300+0,B07,54,2025.05.30
ChessAttack,Guimasbec,1608,1894,0-1,180+0,C44,46,2025.05.30
LWRoad,Moondance,1437,1743,0-1,180+0,A06,78,2025.05.30
morlok,Qidel,1424,1526,0-1,180+0,C21,92,2025.05.30
rusalka,lethalgambit,1667,2139,1-0,900+0,E15,45,2025.05.30
JoeO,Durol,1709,1663,1-0,180+0,B10,67,2025.05.30
Caarreeyy,Guimasbec,1465,1893,0-1,300+0,E61,68,2025.05.30
ChequeMade,Oak,1682,1554,0-1,180+0,C23,84,2025.05.30
leevorotation,msheaf,2004,1814,0-1,180+0,B20,56,2025.05.30
Moondance,LWRoad,1741,1439,1-0,180+0,B01,83,2025.05.30
CeruleanJS,venazvz,1966,1750,1/2-1/2,300+0,A36,72,2025.05.30
inemuri,Mmalawi,1285,1368,1-0,300+0,A00,73,2025.05.30
elrukapillan,Qidel,1450,1520,0-1,180+0,D03,70,2025.05.30
Durol,JoeO,1670,1702,0-1,180+0,B00,90,2025.05.30
KINGJarthur,LuigiBot,1648,1677,1-0,900+0,A00,43,2025.05.30
eyestiger,leevorotation,1837,2016,1-0,180+0,A00,139,2025.05.30
fatalfred,Moondance,1399,1739,0-1,180+0,D00,86,2025.05.30
Oak,ChequeMade,1559,1677,0-1,180+0,C31,68,2025.05.30
yummycrepe,LWRoad,1640,1427,0-1,300+0,B01,34,2025.05.30
amiriyan,hejkal,1441,1440,1-0,120+12,B20,69,2025.05.30
LuigiBot,KINGJarthur,1686,1639,0-1,900+0,C00,92,2025.05.30
Guimasbec,morlok,1892,1425,1-0,180+0,A88,71,2025.05.30
Mmalawi,inemuri,1362,1291,1-0,300+0,A40,27,2025.05.30
kamenozrout,venazvz,1983,1753,1-0,300+0,D46,79,2025.05.30
inemuri,Mmalawi,1281,1372,1-0,300+0,A00,103,2025.05.30
DonTBeadick,mindman,1363,1304,0-1,720+0,B20,58,2025.05.30
JoeO,Durol,1703,1669,1/2-1/2,180+0,B10,93,2025.05.30
lethalgambit,rusalka,2138,1668,1-0,900+0,A66,51,2025.05.30
