White,Black,WhiteElo,BlackElo,Result,TimeControl,ECO,PlyCount,Date
camthejam,cveto,1590,1532,0-1,180+0,A10,138,2025.05.30
lightsabre,philmic,1497,1463,1-0,180+0,A41,59,2025.05.30
JoseMgom,burlon,1681,1697,0-1,900+0,C41,42,2025.05.30
LuigiBot,DerrickH,1645,1473,0-1,900+0,B01,98,2025.05.30
GeorgeCool,shambhala,1653,1687,0-1,180+0,B20,76,2025.05.30
MIHAILOP,akx,2193,1819,1-0,180+0,C48,35,2025.05.30
venazvz,uloseiwin,1766,1751,0-1,180+0,B01,46,2025.05.30
hastrman,bluechip,1651,1746,0-1,120+12,B51,132,2025.05.30
TemporalGambit,Axerx,1790,1860,0-1,180+0,B30,78,2025.05.30
akx,MIHAILOP,1813,2199,1/2-1/2,180+0,A00,98,2025.05.30
Trasimene,Crown,1746,1582,1-0,240+0,D00,63,2025.05.30
lorenzolotto,gtboyyy,1795,1826,1-0,180+0,A04,51,2025.05.30
kobasa,gron,1505,1590,1-0,300+0,A05,75,2025.05.30
Mmalawi,hejkal,1872,1791,0-1,900+0,D20,50,2025.05.30
patriotscout,ozangi,1581,1546,0-1,180+0,B01,144,2025.05.30
McFarmer,ilicv,1418,1529,0-1,180+0,A00,118,2025.05.30
kamenozrout,rugs,1951,1720,1-0,300+0,A40,91,2025.05.30
uloseiwin,venazvz,1751,1766,1/2-1/2,180+0,A00,133,2025.05.30
nluetic,ChequeMade,1765,1674,0-1,180+0,D37,82,2025.05.30
bakkrot,CeruleanJS,1663,1947,0-1,300+0,A05,26,2025.05.30
cveto,Gendalf,1537,1675,0-1,180+0,C02,66,2025.05.30
defensamaya,camthejam,1529,1583,0-1,180+0,A00,102,2025.05.30
Axerx,TemporalGambit,1853,1797,1-0,180+0,A07,104,2025.05.30
shambhala,LiKeAsToNe,1695,1711,0-1,180+0,C00,98,2025.05.30
tomphils,frpr,1357,1248,1-0,300+0,B10,85,2025.05.30
Magico,lorenzolotto,1732,1788,0-1,180+0,A45,36,2025.05.30
agrfor,Cantabrico,1737,1461,1-0,900+0,C23,23,2025.05.30
MIHAILOP,akx,2197,1815,1-0,180+0,C48,49,2025.05.30
Aromas,KnightMeKing,2040,1995,1-0,900+0,B30,131,2025.05.30
gtboyyy,Adityakhatri,1822,1599,1-0,180+0,A36,65,2025.05.30
ChessAttack,Magico,1646,1742,1-0,180+0,C44,93,2025.05.30
venazvz,uloseiwin,1775,1742,0-1,180+0,B01,58,2025.05.30
soopaman,rufenach,1383,1375,1-0,300+0,C41,35,2025.05.30
Baxters,lorenzolotto,1633,1783,0-1,180+0,A45,106,2025.05.30
gron,JoseRaoul,1604,1318,0-1,300+0,B73,66,2025.05.30
kobasa,GeorgeCool,1510,1648,0-1,180+0,A04,106,2025.05.30
ChequeMade,nluetic,1664,1775,1-0,180+0,B22,71,2025.05.30
camthejam,Gendalf,1572,1686,1-0,180+0,D35,85,2025.05.30
Trasimene,cveto,1742,1541,1-0,240+0,A41,93,2025.05.30
akx,MIHAILOP,1808,2204,1/2-1/2,180+0,C00,124,2025.05.30
ozangi,morlok,1541,1424,1-0,180+0,B20,81,2025.05.30
philmic,TemporalGambit,1465,1795,0-1,180+0,A00,46,2025.05.30
rugs,konozrout,1722,2057,0-1,300+0,A45,58,2025.05.30
hoosierdog,defensamaya,1602,1519,0-1,180+0,B07,104,2025.05.30
LiKeAsToNe,shambhala,1720,1686,0-1,180+0,B06,100,2025.05.30
Lumpy,ErrareHumanumEst,1658,1781,0-1,60+0,C50,80,2025.05.30
Adityakhatri,Axerx,1720,1847,0-1,180+0,A15,16,2025.05.30
CeruleanJS,venazvz,1942,1780,1-0,300+0,A01,42,2025.05.30
scalaQueen,bakkrot,1831,1668,1-0,180+0,E61,49,2025.05.30
uloseiwin,ChessAttack,1744,1644,1/2-1/2,180+0,A40,99,2025.05.30
TemporalGambit,philmic,1793,1467,1-0,180+0,B07,47,2025.05.30
BerndBinder,Adityakhatri,1788,1720,0-1,900+0,B54,52,2025.05.30
Axerx,pagerka,1845,1538,1-0,180+0,D11,81,2025.05.30
ilicv,gtboyyy,1532,1819,0-1,180+0,B21,132,2025.05.30
Baxters,twagner,1626,1564,1-0,180+0,D00,79,2025.05.30
nluetic,ChequeMade,1769,1670,1-0,180+0,D30,60,2025.05.30
JoseRaoul,DonTBeadick,1308,1363,1-0,180+5,D21,65,2025.05.30
bobjay,peterjohn,1375,1411,1-0,120+12,C24,103,2025.05.30
frpr,laspac,1252,1422,0-1,300+0,D00,76,2025.05.30
TemporalGambit,camthejam,1789,1576,1-0,180+0,B50,48,2025.05.30
Gendalf,alextheseaman,1680,1579,1-0,240+0,C55,59,2025.05.30
morlok,kobasa,1414,1520,1-0,180+0,B07,91,2025.05.30
BorkaTower,rugs,2741,1722,1-0,300+0,A01,49,2025.05.30
tomphils,forqueray,1353,1170,1-0,300+0,C44,61,2025.05.30
MIHAILOP,akx,2202,1810,1-0,180+0,A00,93,2025.05.30
ChessAttack,uloseiwin,1650,1738,0-1,180+0,B01,76,2025.05.30
shambhala,LiKeAsToNe,1685,1721,1/2-1/2,180+0,C00,133,2025.05.30
Cravane,hoosierdog,1435,1597,0-1,180+0,C20,43,2025.05.30
GeorgeCool,Inflames,1638,1742,1-0,180+0,B10,77,2025.05.30
ChequeMade,nluetic,1668,1771,1/2-1/2,180+0,B22,105,2025.05.30
ErrareHumanumEst,Lumpy,1776,1663,1-0,60+0,B01,85,2025.05.30
cveto,patriotscout,1548,1574,0-1,180+0,B00,100,2025.05.30
leasetentaysiete,TemporalGambit,1482,1803,1-0,180+0,A40,47,2025.05.30
twagner,RousterRook,1558,1453,1-0,180+0,D20,91,2025.05.30
ErrareHumanumEst,Axerx,1822,1837,0-1,180+0,B22,50,2025.05.30
rugs,BorkaTower,1722,2741,0-1,300+0,A45,40,2025.05.30
bluechip,hastrman,1757,1640,0-1,120+12,A49,75,2025.05.30
lorenzolotto,dad,1778,1634,1-0,180+0,D02,115,2025.05.30
maestrul,ChessAttack,1690,1641,0-1,180+0,C25,41,2025.05.30
camthejam,Cravane,1571,1440,1-0,180+0,A21,59,2025.05.30
uloseiwin,JoeO,1732,1662,1-0,180+0,A40,51,2025.05.30
akx,MIHAILOP,1812,2200,0-1,180+0,B00,118,2025.05.30
kobasa,morlok,1514,1420,1-0,180+0,A04,37,2025.05.30
nluetic,ChequeMade,1765,1674,1-0,180+0,D37,91,2025.05.30
Inflames,Trasimene,1732,1750,1-0,180+0,A04,27,2025.05.30
vasiliscus,Caarreeyy,1482,1488,1-0,300+0,C37,49,2025.05.30
laspac,frpr,1417,1257,1-0,300+0,B20,91,2025.05.30
LiKeAsToNe,shambhala,1713,1693,1-0,180+0,B06,83,2025.05.30
ChessAttack,maestrul,1631,1700,1-0,180+0,B00,47,2025.05.30
LuigiBot,pitagorico,1650,1814,0-1,900+0,B30,60,2025.05.30
Axerx,cveto,1834,1551,1-0,180+0,C41,55,2025.05.30
RousterRook,twagner,1442,1569,1-0,180+0,D30,101,2025.05.30
MCCapitan,GeorgeCool,1589,1647,1-0,180+0,A53,77,2025.05.30
TacticianPro,Baxters,1504,1637,1-0,180+0,C23,107,2025.05.30
rusalka,Porphyrius,1272,932,0-1,120+12,D00,70,2025.05.30
BorkaTower,rugs,2741,1722,1-0,300+0,A00,45,2025.05.30
peterjohn,bobjay,1420,1366,0-1,300+5,D02,50,2025.05.30
callipygian,FZi,1606,1844,1-0,180+0,D00,61,2025.05.30
Waldiii,JoseRaoul,1349,1316,1-0,300+0,B30,63,2025.05.30
JoeO,uloseiwin,1669,1725,0-1,180+0,A01,56,2025.05.30
Framzowich,FyFazan,1631,1761,1-0,900+0,C41,75,2025.05.30
dad,lorenzolotto,1639,1773,0-1,180+0,A02,54,2025.05.30
hejkal,krankenstein,1484,1298,0-1,120+12,C29,58,2025.05.30
kamenozrout,istwoud,1950,1403,1-0,300+0,C25,61,2025.05.30
cveto,camthejam,1559,1563,0-1,180+0,B22,84,2025.05.30
maestrul,AlgozBR,1692,1671,1-0,180+0,A00,65,2025.05.30
shambhala,Axerx,1698,1829,0-1,180+0,B34,74,2025.05.30
ChequeMade,nluetic,1664,1775,1-0,180+0,B22,103,2025.05.30
MIHAILOP,akx,2198,1814,1-0,180+0,C48,55,2025.05.30
erikrulz,Chessabcd,1337,1213,1-0,720+0,C00,49,2025.05.30
morlok,dad,1424,1635,0-1,180+0,B13,60,2025.05.30
airat,gtboyyy,1806,1811,0-1,180+0,B42,90,2025.05.30
alextheseaman,chopinscherzo,1577,1240,1-0,300+0,C01,51,2025.05.30
twagner,RousterRook,1564,1447,1-0,180+0,D31,59,2025.05.30
HBtime,VictoriaBot,2157,1899,1-0,900+0,A00,43,2025.05.30
kikocu,MaNuNu,1785,1697,0-1,180+0,B06,92,2025.05.30
VictoriaBot,HBtime,1902,2154,0-1,900+0,B07,50,2025.05.30
Mentallytough,TacticianPro,1514,1496,0-1,180+0,C30,66,2025.05.30
Cantabrico,simongriffin,1466,1603,0-1,900+0,D02,86,2025.05.30
HBtime,VictoriaBot,2159,1897,1/2-1/2,900+0,A00,87,2025.05.30
GeorgeCool,saviraj,1642,1508,1-0,180+0,C00,69,2025.05.30
MCCapitan,maestrul,1595,1686,0-1,180+0,D20,50,2025.05.30
frpr,laspac,1245,1429,1-0,300+0,C21,125,2025.05.30
Cravane,baalzebul,1448,1452,0-1,240+0,B12,44,2025.05.30
camthejam,AlgozBR,1569,1665,0-1,180+0,A10,22,2025.05.30
CeruleanJS,rugs,1938,1726,1-0,300+0,A00,49,2025.05.30
akx,MIHAILOP,1816,2196,0-1,180+0,A45,62,2025.05.30
jsenica,dad,1367,1632,0-1,180+0,B12,80,2025.05.30
istwoud,kamenozrout,1404,1949,0-1,300+0,B01,60,2025.05.30
blacklightzero,JoseRaoul,1107,1321,1/2-1/2,300+0,B21,123,2025.05.30
vasiliscus,peterjohn,1475,1427,1-0,300+0,C20,75,2025.05.30
AlgozBR,cveto,1659,1565,1-0,180+0,C21,55,2025.05.30
theprof,HalixxSabre,1745,1727,1/2-1/2,180+0,C40,160,2025.05.30
Onechesslife,uber,1235,1453,0-1,180+0,A43,82,2025.05.30
gtboyyy,airat,1803,1814,1-0,180+0,A13,85,2025.05.30
nluetic,ChequeMade,1769,1670,1-0,180+0,D37,67,2025.05.30
chopinscherzo,alextheseaman,1242,1575,0-1,300+0,C50,34,2025.05.30
mcstorytaller,Aromas,1910,2051,1-0,900+5,B30,75,2025.05.30
VictoriaBot,HBtime,1900,2156,0-1,900+0,B07,84,2025.05.30
anansis,shambhala,1615,1708,1-0,180+0,B07,103,2025.05.30
Lumpy,ErrareHumanumEst,1652,1787,1-0,60+0,C50,69,2025.05.30
MaNuNu,kikocu,1687,1795,1-0,180+0,B30,109,2025.05.30
maestrul,Mentallytough,1698,1502,0-1,180+0,A00,8,2025.05.30
pikozrout,GoldBarMM,2309,3082,0-1,960+3,C44,86,2025.05.30
TacticianPro,Mentallytough,1487,1511,1-0,180+0,C26,85,2025.05.30
MIHAILOP,akx,2194,1818,1-0,180+0,A00,53,2025.05.30
scalaQueen,bluechip,1824,1764,1-0,180+0,B21,101,2025.05.30
HBtime,GriffyJr,2150,2083,1-0,900+0,D04,69,2025.05.30
Axerx,maskarado,1839,1742,0-1,180+0,A50,72,2025.05.30
RousterRook,NeverLooseAgain,1440,1374,1-0,180+0,D20,113,2025.05.30
ErrareHumanumEst,IjonTichy,1783,1593,1-0,60+0,C21,69,2025.05.30
dad,AlgozBR,1623,1668,1-0,180+0,A03,85,2025.05.30
philmic,morlok,1476,1415,0-1,180+0,B23,76,2025.05.30
rugs,kamenozrout,1730,1945,0-1,300+0,D00,60,2025.05.30
alextheseaman,chopinscherzo,1589,1228,0-1,300+0,C01,50,2025.05.30
cveto,GeorgeCool,1555,1652,1-0,180+0,C20,75,2025.05.30
ChequeMade,nluetic,1659,1780,1-0,180+0,B22,73,2025.05.30
HalixxSabre,theprof,1735,1737,0-1,180+0,C00,134,2025.05.30
IjonTichy,ErrareHumanumEst,1597,1779,0-1,60+0,C65,86,2025.05.30
airat,gtboyyy,1823,1794,0-1,180+0,B50,76,2025.05.30
patriotscout,camthejam,1566,1577,1-0,180+0,B50,71,2025.05.30
rusalka,erikrulz,1262,1347,1-0,120+12,C55,33,2025.05.30
akx,MIHAILOP,1820,2192,0-1,180+0,A43,70,2025.05.30
kikocu,MaNuNu,1806,1676,0-1,180+0,A40,100,2025.05.30
haberdashery,Magico,1664,1752,1-0,180+0,C30,67,2025.05.30
ErrareHumanumEst,IjonTichy,1775,1601,1-0,60+0,B22,65,2025.05.30
laspac,frpr,1425,1249,1-0,300+0,B12,105,2025.05.30
Mentallytough,Onechesslife,1508,1238,1-0,180+0,C30,49,2025.05.30
bluechip,ShallowPurple,1758,1658,1-0,300+0,D30,143,2025.05.30
JoseRaoul,blacklightzero,1326,1103,1/2-1/2,300+0,D32,120,2025.05.30
Cravane,anansis,1436,1627,1-0,180+0,C02,85,2025.05.30
dad,patriotscout,1616,1573,1-0,180+0,A02,35,2025.05.30
Axerx,nluetic,1832,1787,1-0,180+0,A08,51,2025.05.30
NeverLooseAgain,RousterRook,1381,1433,0-1,180+0,A00,110,2025.05.30
Juanji,chopinscherzo,1028,1224,0-1,120+12,C00,6,2025.05.30
camthejam,ChequeMade,1583,1653,0-1,180+0,A18,72,2025.05.30
jcazcal,DonTBeadick,1555,1367,1-0,300+0,D00,85,2025.05.30
IjonTichy,ErrareHumanumEst,1589,1787,1-0,60+0,C65,41,2025.05.30
FyFazan,Framzowich,1755,1640,1-0,900+0,B22,73,2025.05.30
Zuli,alextheseaman,1662,1596,1-0,300+0,D10,32,2025.05.30
LWRoad,dad,1464,1611,0-1,180+0,A04,56,2025.05.30
Gotbe,LuigiBot,1522,1645,0-1,900+0,A00,92,2025.05.30
GeorgeCool,AFCERGY,1644,1648,1-0,180+0,B07,61,2025.05.30
maskarado,satchelpaige,1734,1717,1-0,180+0,B01,57,2025.05.30
gtboyyy,airat,1785,1832,1-0,180+0,A13,53,2025.05.30
theprof,HalixxSabre,1729,1743,1-0,180+0,C42,105,2025.05.30
ErrareHumanumEst,IjonTichy,1783,1593,1-0,60+0,B22,69,2025.05.30
AlgozBR,patriotscout,1679,1562,0-1,180+0,A00,0,2025.05.30
saviraj,vasiliscus,1500,1483,1-0,300+0,D00,69,2025.05.30
SWITCHHITTER,Lumpy,1874,1647,1/2-1/2,60+0,A00,88,2025.05.30
stealthbomber,nofics,1532,1825,0-1,180+0,C01,76,2025.05.30
MaNuNu,kikocu,1681,1801,0-1,180+0,B06,68,2025.05.30
mcstorytaller,Introspection,1919,1868,0-1,2700+45,C65,40,2025.05.30
MIHAILOP,akx,2190,1822,1-0,180+0,A00,69,2025.05.30
Axerx,ImgonnaMateYou,1829,1601,1-0,180+0,A07,51,2025.05.30
rugs,CeruleanJS,1717,1951,1-0,300+0,A40,161,2025.05.30
Onechesslife,SimonX,1242,1429,0-1,180+0,A40,72,2025.05.30
LuigiBot,Gotbe,1639,1528,1-0,900+0,B00,59,2025.05.30
HalixxSabre,theprof,1735,1737,1-0,180+0,C00,141,2025.05.30
Lumpy,SWITCHHITTER,1651,1870,0-1,60+0,C00,94,2025.05.30
dad,LWRoad,1606,1469,1-0,180+0,A03,77,2025.05.30
gtboyyy,camthejam,1781,1587,1-0,180+0,A36,81,2025.05.30
airat,ErrareHumanumEst,1841,1813,0-1,180+0,C45,68,2025.05.30
chasp,AFCERGY,1565,1642,0-1,180+0,D32,86,2025.05.30
anansis,GeorgeCool,1627,1644,1/2-1/2,180+0,C20,130,2025.05.30
Juanji,KnightyKnites,1050,1720,0-1,120+0,B00,1,2025.05.30
RousterRook,NeverLooseAgain,1426,1388,1-0,180+0,D20,93,2025.05.30
frpr,laspac,1253,1421,0-1,300+0,D00,80,2025.05.30
SWITCHHITTER,Lumpy,1866,1655,1-0,60+0,A00,53,2025.05.30
ShallowPurple,bluechip,1664,1752,0-1,300+0,A16,128,2025.05.30
kikocu,MaNuNu,1795,1687,1-0,180+0,B06,89,2025.05.30
akx,MIHAILOP,1824,2188,0-1,180+0,C00,43,2025.05.30
Gotbe,LuigiBot,1517,1650,1-0,900+0,A00,133,2025.05.30
shambhala,stealthbomber,1704,1536,1-0,180+0,C34,47,2025.05.30
Downtube,johnmar,1682,1612,0-1,300+0,C25,36,2025.05.30
HurtedKing,JoseRaoul,1524,1312,0-1,300+0,B21,56,2025.05.30
Lumpy,SWITCHHITTER,1659,1862,0-1,60+0,C00,46,2025.05.30
pirathonmace,ChequeMade,1512,1648,0-1,180+0,D02,84,2025.05.30
LorenzoDV,jcazcal,1415,1550,0-1,300+0,B50,86,2025.05.30
SWITCHHITTER,Lumpy,1858,1663,1-0,60+0,A00,87,2025.05.30
theprof,HalixxSabre,1729,1743,1-0,180+0,C40,99,2025.05.30
morlok,Onechesslife,1410,1246,1-0,180+0,C21,99,2025.05.30
WodanM,gtboyyy,1586,1777,0-1,180+0,A41,66,2025.05.30
MIHAILOP,akx,2186,1826,1-0,180+0,C33,65,2025.05.30
Juanji,SimonX,1029,1428,0-1,180+0,C00,44,2025.05.30
dad,Aleprok,1618,1447,0-1,180+0,A03,66,2025.05.30
Ragnoz,Cantabrico,1717,1469,1-0,900+0,C64,26,2025.05.30
maskarado,gsfoote,1743,1707,0-1,180+0,A16,82,2025.05.30
AFCERGY,camthejam,1652,1577,0-1,180+0,A43,106,2025.05.30
Lumpy,SWITCHHITTER,1667,1854,0-1,60+0,C00,90,2025.05.30
LuigiBot,Gotbe,1661,1506,0-1,900+0,B02,86,2025.05.30
stealthbomber,shambhala,1541,1699,0-1,180+0,A41,68,2025.05.30
NeverLooseAgain,alextheseaman,1375,1609,1-0,180+0,A22,41,2025.05.30
LWRoad,KnightyKnites,1461,1437,1-0,180+0,A06,51,2025.05.30
netanava,Downtube,1722,1673,0-1,300+0,A85,76,2025.05.30
DonTBeadick,RousterRook,1357,1436,1-0,180+0,B01,55,2025.05.30
GeorgeCool,WodanM,1637,1593,1-0,180+0,C23,37,2025.05.30
HalixxSabre,theprof,1735,1737,1-0,180+0,C00,130,2025.05.30
ChequeMade,pirathonmace,1643,1517,1-0,180+0,B07,95,2025.05.30
SWITCHHITTER,Lumpy,1850,1671,1-0,60+0,A00,91,2025.05.30
shiraren,hastrman,1646,1648,1-0,300+3,C50,73,2025.05.30
MaNuNu,kikocu,1693,1789,0-1,180+0,B00,104,2025.05.30
kamenozrout,rugs,1958,1704,0-1,300+0,A40,34,2025.05.30
Gotbe,LuigiBot,1494,1673,1-0,900+0,A00,87,2025.05.30
Cantabrico,Ragnoz,1472,1713,0-1,900+0,D02,82,2025.05.30
RealFurb,gtboyyy,1810,1768,0-1,180+0,B20,104,2025.05.30
StevanM,Deemon,1887,1705,1-0,180+0,A43,71,2025.05.30
noory,WaclawCenkowski,1621,1609,1-0,300+0,C50,91,2025.05.30
akx,MIHAILOP,1828,2184,0-1,180+0,A40,52,2025.05.30
Aleprok,dad,1452,1613,0-1,180+0,B10,72,2025.05.30
laspac,frpr,1416,1258,1-0,300+0,C41,81,2025.05.30
Lumpy,SWITCHHITTER,1675,1846,0-1,60+0,C00,90,2025.05.30
LWRoad,KnightyKnites,1452,1524,1-0,180+0,A06,63,2025.05.30
JoseRaoul,HurtedKing,1297,1537,1-0,300+0,D65,41,2025.05.30
theprof,HalixxSabre,1729,1743,1-0,180+0,C00,77,2025.05.30
CeruleanJS,rugs,1948,1707,1-0,300+0,A41,71,2025.05.30
inemuri,Milsbeek,1308,1598,1-0,300+0,A00,67,2025.05.30
RousterRook,NeverLooseAgain,1446,1365,0-1,180+0,D26,26,2025.05.30
gsfoote,maskarado,1715,1735,0-1,180+0,B09,68,2025.05.30
jcazcal,morlok,1545,1415,1-0,180+0,A80,103,2025.05.30
Deemon,StevanM,1709,1883,0-1,180+0,A40,70,2025.05.30
camthejam,AFCERGY,1584,1645,0-1,180+0,B20,58,2025.05.30
LuigiBot,Gotbe,1669,1498,1-0,900+0,B02,97,2025.05.30
SWITCHHITTER,Lumpy,1841,1680,1-0,60+0,A00,87,2025.05.30
GotreksAxe,GeorgeCool,1768,1642,1-0,180+0,C25,109,2025.05.30
bluechip,VictoriaBot,2138,1887,0-1,900+0,A56,62,2025.05.30
dad,RousterRook,1608,1451,1-0,180+0,A03,73,2025.05.30
MIHAILOP,akx,2182,1830,1-0,180+0,C48,57,2025.05.30
GoldBarMM,pikozrout,3081,2309,1-0,960+3,B90,79,2025.05.30
Sccorpionn,Aleprok,1491,1443,0-1,180+0,C50,102,2025.05.30
Jasf,family,1502,1729,0-1,300+0,C10,86,2025.05.30
LWRoad,LorenzoDV,1445,1422,1-0,300+0,C41,55,2025.05.30
pirathonmace,ChequeMade,1522,1638,0-1,180+0,D02,56,2025.05.30
HalixxSabre,theprof,1752,1720,0-1,180+0,C00,100,2025.05.30
HurtedKing,JoseRaoul,1534,1301,1-0,300+0,B70,21,2025.05.30
kikocu,MaNuNu,1783,1699,1-0,180+0,A00,93,2025.05.30
Lumpy,SWITCHHITTER,1668,1853,1-0,60+0,C00,45,2025.05.30
Milsbeek,inemuri,1595,1311,1-0,300+0,A50,25,2025.05.30
Framzowich,FyFazan,1650,1749,0-1,900+0,C41,28,2025.05.30
inemuri,Milsbeek,1314,1592,0-1,300+0,A00,28,2025.05.30
JoseRaoul,HurtedKing,1305,1531,0-1,300+0,D43,50,2025.05.30
Gotbe,LuigiBot,1503,1664,0-1,900+0,A00,86,2025.05.30
Downtube,netanava,1680,1715,0-1,300+0,C01,76,2025.05.30
SWITCHHITTER,Lumpy,1849,1672,1-0,60+0,A00,93,2025.05.30
camthejam,NeverLooseAgain,1580,1369,1-0,180+0,D31,73,2025.05.30
AFCERGY,chasp,1638,1572,1-0,180+0,D15,85,2025.05.30
FreeMind,ShallowPurple,1955,1667,1-0,600+0,C50,129,2025.05.30
Milsbeek,inemuri,1589,1317,1-0,300+0,A50,59,2025.05.30
Troublemixer,KnightyKnites,1292,1586,1/2-1/2,180+0,B01,113,2025.05.30
ChequeMade,pirathonmace,1632,1528,1-0,180+0,B07,57,2025.05.30
RousterRook,dad,1456,1603,0-1,180+0,D00,46,2025.05.30
shambhala,Deemon,1707,1701,0-1,180+0,B20,40,2025.05.30
RealFurb,MIHAILOP,1812,2180,0-1,180+0,C20,50,2025.05.30
RookNRoll,hejkal,1456,1476,0-1,120+12,A80,46,2025.05.30
ErrareHumanumEst,cebas,1804,1843,1-0,180+0,B01,79,2025.05.30
inemuri,Milsbeek,1303,1603,1-0,300+0,A00,71,2025.05.30
frpr,mcFritz,1248,1359,1-0,300+0,D02,47,2025.05.30
krankenstein,rusalka,1604,1661,0-1,900+0,D00,28,2025.05.30
theprof,HalixxSabre,1728,1744,0-1,180+0,C00,36,2025.05.30
maskarado,gsfoote,1727,1723,1-0,180+0,A00,75,2025.05.30
hastrman,Dpouchy,1645,1393,1-0,120+12,D02,33,2025.05.30
LuigiBot,Gotbe,1659,1508,1-0,900+0,C26,81,2025.05.30
WaclawCenkowski,noory,1617,1613,0-1,300+0,C54,112,2025.05.30
LorenzoDV,jcazcal,1428,1539,0-1,300+0,B20,94,2025.05.30
JAMAALB,tacneno,1808,1696,0-1,1200+5,D24,108,2025.05.30
HalixxSabre,theprof,1736,1736,1-0,180+0,C00,163,2025.05.30
Milsbeek,inemuri,1617,1289,0-1,300+0,A10,66,2025.05.30
MaNuNu,kikocu,1705,1777,0-1,180+0,B01,72,2025.05.30
pirathonmace,ChequeMade,1517,1643,1-0,180+0,D02,85,2025.05.30
vasiliscus,RousterRook,1475,1464,1-0,300+0,B01,99,2025.05.30
gtboyyy,shambhala,1778,1697,0-1,180+0,A10,48,2025.05.30
Caarreeyy,admnoite,1494,1566,0-1,300+0,D20,68,2025.05.30
KngBldwnIV,Framzowich,1737,1631,0-1,900+0,E06,56,2025.05.30
StevanM,Deemon,1879,1705,1-0,180+0,A43,57,2025.05.30
Gotbe,LuigiBot,1513,1654,0-1,900+0,A00,66,2025.05.30
HurtedKing,JoseRaoul,1527,1309,1-0,300+0,B74,39,2025.05.30
Troublemixer,KnightyKnites,1296,1546,0-1,180+0,B01,68,2025.05.30
NeverLooseAgain,LWRoad,1359,1455,1-0,180+0,A00,43,2025.05.30
mcFritz,frpr,1370,1237,0-1,300+0,B06,84,2025.05.30
GeorgeCool,camthejam,1652,1570,0-1,180+0,B50,134,2025.05.30
inemuri,Milsbeek,1275,1631,1-0,300+0,A00,19,2025.05.30
msheaf,MIHAILOP,1816,2178,0-1,180+0,D41,64,2025.05.30
LuigiBot,Gotbe,1649,1518,1-0,900+0,B02,73,2025.05.30
Deemon,StevanM,1709,1875,0-1,180+0,A40,68,2025.05.30
WodanM,AFCERGY,1584,1647,1-0,180+0,D02,99,2025.05.30
capricornus,Vassis,1369,1354,1-0,300+0,C44,113,2025.05.30
dad,ytunde,1593,1696,1-0,180+0,A02,73,2025.05.30
gsfoote,maskarado,1715,1735,1-0,180+0,D00,67,2025.05.30
ChequeMade,pirathonmace,1638,1522,1-0,180+0,B07,93,2025.05.30
kikocu,MaNuNu,1787,1695,0-1,180+0,B06,84,2025.05.30
Gotbe,LuigiBot,1523,1644,0-1,900+0,A00,72,2025.05.30
JoseRaoul,tollfree,1315,1468,0-1,300+0,A51,84,2025.05.30
netanava,Deemon,1707,1717,1-0,180+0,A43,65,2025.05.30
rusalka,krankenstein,1270,1290,0-1,120+12,C41,34,2025.05.30
theprof,HalixxSabre,1744,1728,0-1,180+0,C00,82,2025.05.30
Dpouchy,hastrman,1396,1642,0-1,120+12,B05,96,2025.05.30
Troublemixer,KnightyKnites,1301,1478,0-1,180+0,B01,48,2025.05.30
MIHAILOP,msheaf,2192,1802,0-1,180+0,B23,92,2025.05.30
AFCERGY,WodanM,1640,1591,1-0,180+0,D02,62,2025.05.30
kapilaero,ErrareHumanumEst,1654,1799,0-1,180+0,C55,6,2025.05.30
noory,WaclawCenkowski,1613,1617,1/2-1/2,300+0,C25,122,2025.05.30
LuigiBot,Gotbe,1638,1529,1-0,900+0,B00,119,2025.05.30
frpr,mcFritz,1242,1365,0-1,300+0,A00,60,2025.05.30
Ragnoz,bartab,1727,1550,0-1,600+12,C42,12,2025.05.30
HalixxSabre,theprof,1736,1736,0-1,180+0,C00,100,2025.05.30
shambhala,camthejam,1692,1575,1-0,180+0,B21,71,2025.05.30
WodanM,dad,1599,1585,0-1,180+0,D11,72,2025.05.30
ytunde,samtrot,1709,1463,0-1,180+0,E76,34,2025.05.30
naomi,Partner,1487,1685,0-1,180+0,A40,94,2025.05.30
maskarado,gsfoote,1735,1715,1/2-1/2,180+0,B50,92,2025.05.30
MaNuNu,kikocu,1701,1781,0-1,180+0,B01,92,2025.05.30
chopinscherzo,LorenzoDV,1228,1424,0-1,300+0,C50,58,2025.05.30
pirathonmace,ChequeMade,1528,1632,0-1,180+0,D02,104,2025.05.30
AFCERGY,Caarreeyy,1635,1499,1-0,180+0,D15,51,2025.05.30
Sakovic,kapilaero,1747,1644,0-1,180+0,B54,60,2025.05.30
bartab,Ragnoz,1538,1742,1-0,600+12,B00,13,2025.05.30
FZi,cebas,1836,1856,1-0,180+0,A40,71,2025.05.30
krankenstein,chesspickle,1290,2089,0-1,300+0,A45,36,2025.05.30
Mariorichard,Nintu,1625,1638,1-0,900+0,C58,81,2025.05.30
Troublemixer,capricornus,1308,1362,0-1,300+0,C25,76,2025.05.30
asalman,hthen,1808,1718,0-1,180+0,B06,68,2025.05.30
samtrot,faceache,1475,1298,0-1,300+0,C05,104,2025.05.30
ErrareHumanumEst,MIHAILOP,1792,2199,1/2-1/2,180+0,C68,116,2025.05.30
